,0
0,Queen Anne
1,nan
2,Ballard
3,Phinney Ridge
4,Fremont
5,Lower Queen Anne
6,Westlake
7,Wallingford
8,Green Lake
9,Minor
10,Madrona
11,Harrison/Denny-Blaine
12,Leschi
13,University District
14,Roosevelt
15,Madison Park
16,Capitol Hill
17,Atlantic
18,North Beacon Hill
19,Central Business District
20,Pike Place Market
21,Pike Market
22,Eastlake
23,Portage Bay
24,South Lake Union
25,Magnolia
26,Belltown
27,International District
28,Yesler Terrace
29,First Hill
30,Pioneer Square
31,Gatewood
32,The Junction
33,Arbor Heights
34,Alki
35,North Admiral
36,Crown Hill
37,Genesee
38,Fairmount Park
39,Interbay
40,Industrial District
41,Holly Park
42,South Beacon Hill
43,Greenwood
44,Bitter Lake
45,Fauntleroy
46,Mount Baker
47,Columbia City
48,Seward Park
49,Brighton
50,South Delridge
51,Highland Park
52,High Point
53,View Ridge
54,Windermere
55,Dunlap
56,Rainier Beach
57,North Delridge
58,Maple Leaf
59,Bryant
60,Ravenna
61,Wedgewood
62,Riverview
63,Montlake
64,Broadway
65,Stevens
66,Victory Heights
67,Mathews Beach
68,Cedar Park
69,Meadowbrook
70,Olympic Hills
71,North Beach/Blue Ridge
72,Broadview
73,Haller Lake
74,Pinehurst
75,Licton Springs
76,North College Park
77,Laurelhurst
78,Seaview
79,Georgetown
80,South Park
81,Roxhill
