Neighborhood,Est. Population,Median Rental Price
Ballard,49780,2548
Beacon Hill,36358,2365
Bellevue,150305,2729
Bothell,27262,2378
Broadview,17301,2654
Burien,45830,2101
Capitol Hill,46770,2457
Central District,33789,2615
Chinatown - Intl. District,4555,2228
Columbia City/Brighton,23434,2423
Downtown,42762,2229
Eastlake,3213,2295
Fremont,14500,2295
Georgetown/SODO,4078,2235
Green Lake/Greenwood,36024,2474
Kenmore,22406,2473
Kirkland,80581,2499
Lake City,30063,2413
Lake Forest Park,12282,2375
Madison Park,2943,3433
Magnolia/Interbay,21584,2896
Mercer Island,17424,4311
Mount Baker,11441,2869
Northeast Seattle,25626,3141
Northgate,26962,2365
Phinney Ridge,8961,2813
Pioneer Square,2523,2430
Queen Anne,39566,2729
Rainier Beach,31438,2161
Redmond,59125,2617
Renton,98145,2239
Shoreline,53147,2313
South Lake Union,11434,2550
Tukwila,20985,1943
University District,52751,2607
Wallingford,15720,2884
West Seattle,91134,2424
Westlake,2483,2301
White Center,19592,2058
Woodinville,11390,2733
